Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-03-09,2023-03-10,7800,PARAMOUNT+,Phone/Cable,4.99,
2023-03-09,2023-03-10,7800,HARRIS CLIFTON,Dining,1.91,
2023-03-09,2023-03-10,7800,HARRIS CLIFTON,Dining,7.03,
2023-03-08,2023-03-09,7800,STOP & SHOP 0813,Merchandise,7.99,
2023-03-08,2023-03-08,7800,WSJ/BARRONS SUBSCRIPTI,Other Services,4.00,
2023-03-07,2023-03-08,7800,HARRIS CLIFTON,Dining,6.17,
2023-03-06,2023-03-07,7800,HARRIS CLIFTON,Dining,11.18,
2023-03-04,2023-03-06,7800,HIGH PEAKS RESORT,Dining,17.20,
2023-03-03,2023-03-06,7800,CHICK-FIL-A #03879,Dining,14.92,
2023-03-03,2023-03-04,7800,HARRIS CLIFTON,Dining,7.03,
2023-03-03,2023-03-03,7800,OPTIMUM 7870,Phone/Cable,39.99,
2023-03-03,2023-03-03,7800,ELEVENLABS.IO,Merchandise,5.00,
2023-03-02,2023-03-03,7800,NJT RAIL - MYTIX,Other Travel,4.25,
2023-02-28,2023-03-03,7800,EZ PARK,Gas/Automotive,31.00,
2023-03-01,2023-03-02,7800,HARRIS CLIFTON,Dining,6.59,
2023-03-01,2023-03-01,7800,SURF CITY SQUEEZE 1729,Dining,3.75,
2023-02-28,2023-03-01,7800,SEPTA FARE MACHINE,Other Travel,20.00,
2023-02-27,2023-02-28,7800,TST* Rosys Mexican Pub,Dining,111.78,
2023-02-26,2023-02-27,7800,FOOD & FRIENDS,Merchandise,14.25,
2023-02-26,2023-02-27,7800,GIANT HEIRLOOM #6553,Merchandise,11.87,
2023-02-26,2023-02-27,7800,SQ *TORTORICE S SPECIA,Dining,19.31,
2023-02-26,2023-02-27,7800,TST* SPIN - PHILADELPH,Dining,31.70,
2023-02-25,2023-02-27,7800,WAWA 8105,Gas/Automotive,6.15,
2023-02-09,2023-02-22,7800,PURCHASE ADJUSTMENT,Gas/Automotive,,61.75
2023-02-09,2023-02-22,7800,PURCHASE ADJUSTMENT,Gas/Automotive,,61.75
2023-02-21,2023-02-22,7800,AMZN Mktp US*HP23Q2AU1,Merchandise,17.05,
2023-02-18,2023-02-20,7800,NJT MOBILE 3001,Other Travel,4.25,
